Brand channel,Category,Channel,Country,Link,Primary language,F1,Rank,Subscribers (millions)
Yes,Music,T-Series,India,Link,Hindi[7][8],0,1,238
Yes,Education,Cocomelon,United States,Link,English,1,2,155
Yes,Entertainment,Sony Entertainment Television India,India,Link,Hindi[9],2,3,153
No,Entertainment,MrBeast,United States,Link,English,3,4,137
No,Games,PewDiePie,Sweden,Link,English,4,5,111
Yes,Entertainment,Kids Diana Show,Ukraine,Link,English[10][11][12],5,6,109
No,Entertainment,Like Nastya,United States,Link,English,6,7,105
No,Entertainment,Vlad and Niki,Russia,Link,English,7,8,94.9
Yes,Sports,WWE,United States,Link,English,8,9,93.8
Yes,Music,Zee Music Company,India,Link,Hindi[13][14],9,10,93.4
Yes,Music,Blackpink,South Korea,Link,Korean,10,11,84.8
Yes,Film,Goldmines,India,Link,Hindi,11,12,83.3
Yes,How-to,5-Minute Crafts,Cyprus[a],Link,English,12,13,79.2
Yes,Entertainment,Sony SAB,India,Link,Hindi,13,14,78.2
No,Music,BangtanTV,South Korea,Link,Korean,14,15,73.9
No,Music,Justin Bieber,Canada,Link,English,15,16,71.1
Yes,Music,Hybe Labels,South Korea,Link,Korean,16,17,69.5
Yes,Music,Canal KondZilla,Brazil,Link,Portuguese,17,18,66.4
Yes,Entertainment,Zee TV,India,Link,Hindi,18,19,66.3
Yes,Education,Pinkfong,South Korea,Link,English,19,20,66.1
Yes,Music,Shemaroo Entertainment,India,Link,Hindi,20,21,64.2
Yes,Education,ChuChu TV,India,Link,Hindi[16],21,22,63.2
Yes,Entertainment,Colors TV,India,Link,Hindi,22,23,60.6
No,Sports,Dude Perfect,United States,Link,English,23,24,59
Yes,Film,Movieclips,United States,Link,English,24,25,58.8
Yes,Music,T-Series Bhakti Sagar,India,Link,Hindi,25,26,58.4
Yes,Entertainment,Tips Industries,India,Link,Hindi,26,27,57.3
Yes,Music,Wave Music,India,Link,Bhojpuri,27,28,56.6
No,Music,Marshmello,United States,Link,English,28,29,56.2
Yes,Music,Sony Music India,India,Link,Hindi,29,30,56.1
Yes,Music,El Reino Infantil,Argentina,Link,Spanish,30,31,56
Yes,News,Aaj Tak,India,Link,Hindi,31,32,55.9
No,Music,Eminem,United States,Link,English,32,33,55.6
Yes,Music,LooLoo Kids,Romania,Link,English,33,34,53.1
No,Music,Ed Sheeran,United Kingdom,Link,English,34,35,53
Yes,Music,Yash Raj Films,India,Link,Hindi,35,36,52.7
No,Music,Ariana Grande,United States,Link,English,36,37,52.4
No,Music,Taylor Swift,United States,Link,English,37,38,51.1
Yes,Entertainment,BillionSurpriseToys,United States,Link,English,38,39,50.6
Yes,Education,Infobells,India,Link,Hindi,39,40,49.8
No,Games,JuegaGerman,Chile,Link,Spanish,40,41,47.6
No,Music,Billie Eilish,United States,Link,English,41,42,47.4
Yes,Entertainment,Badabun,Mexico,Link,Spanish,42,43,46.5
No,Games,Fernanfloo,El Salvador,Link,Spanish,43,44,45.7
No,Music,Bad Bunny,United States ( Puerto Rico),Link,Spanish,44,45,45.4
Yes,Music,SonyMusicIndiaVEVO,India,Link,Hindi,45,46,45.4
Yes,Entertainment,Shemaroo,India,Link,Hindi,46,47,45.2
Yes,Entertainment,Get Movies,Russia,Link,Russian,47,48,45
No,Entertainment,Felipe Neto,Brazil,Link,Portuguese,48,49,44.9
No,Entertainment,A4,Belarus,Link,Russian,49,50,44.6
"As of March 14, 2023UTC","As of March 14, 2023UTC","As of March 14, 2023UTC","As of March 14, 2023UTC","As of March 14, 2023UTC","As of March 14, 2023UTC",50,,
